Player ID,Player Name,Gender,Team,Position,Primary Position,Tier,Price,Price Category,Value Rating,Ranking,Edition,In Latest Edition,Edition Count,Price Trend,Price Tier Ratio,Historical_Avg_Price,Historical_Min_Price,Historical_Max_Price,Historical_Avg_Tier,Price_Variance_From_Avg,Tier_Movement,Value_Proposition,Tier_Min_Ranking,Is_Tier_Top,Export_Date,Data_Version,Recommended_Price
27,Mallika Wavare,Non-Cis,BantaBros,"Attacker, Midfielder",Midfielder,2,16,Medium,1.88,,APL 6.0,False,3,42.0,8.0,19.3,0,42,2.0,-3.3000000000000007,0.0,,1.0,False,2025-04-07,1.0,
28,Mohammad Dawood Omidi,Man,The Übermensch United,"Defender, Midfielder",Defender,2,48,High,0.62,,APL 6.0,False,1,0.0,24.0,48.0,48,48,2.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
29,Negash Asayehegn Zeray,Man,Magic Moments,"Defender, Midfielder",Defender,2,46,High,0.65,,APL 6.0,False,1,0.0,23.0,46.0,46,46,2.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
30,Nishta Rajan,Non-Cis,Mango Bomb,"Defender, Midfielder",Defender,2,15,Medium,2.0,,APL 6.0,False,2,0.0,7.5,7.5,0,15,2.0,7.5,0.0,,1.0,False,2025-04-07,1.0,
31,Reet Dara,Non-Cis,Club Penguin,"Attacker, Midfielder",Midfielder,2,12,Medium,2.5,,APL 6.0,False,2,0.0,6.0,6.0,0,12,2.5,6.0,0.0,,1.0,False,2025-04-07,1.0,
32,Tanisha Iyer,Non-Cis,Magic Moments,"Defender, Midfielder",Defender,2,8,Low,3.75,,APL 6.0,False,3,15.0,4.0,7.7,0,15,2.7,0.2999999999999998,0.0,,1.0,False,2025-04-07,1.0,
33,Uday Srivastava,Man,Suiiicide Squad,"Defender, Midfielder",Defender,2,19,Medium,1.58,,APL 6.0,False,2,0.0,9.5,17.0,15,19,2.5,2.0,0.0,,1.0,False,2025-04-07,1.0,
34,Zaid Khan,Man,FZ Warriors,"Attacker, Defender",Defender,2,56,High,0.54,,APL 6.0,False,2,0.0,28.0,28.0,0,56,2.0,28.0,0.0,,1.0,False,2025-04-07,1.0,
35,Aamer Jalan,Man,GETY FC,"Defender, Midfielder",Defender,3,12,Medium,1.67,,APL 6.0,False,2,0.0,4.0,13.5,12,15,3.0,-1.5,0.0,,1.0,False,2025-04-07,1.0,
36,Aashraya Adhikari,Man,Club Penguin,"Attacker, Goalkeeper",Goalkeeper,3,37,High,0.54,,APL 6.0,False,2,0.0,12.333333333333334,26.0,15,37,3.0,11.0,0.0,,1.0,False,2025-04-07,1.0,
37,Abeer Karandikar,Man,F.C. Pineapple,"Attacker, Midfielder",Midfielder,3,16,Medium,1.25,,APL 6.0,False,2,0.0,5.333333333333333,15.5,15,16,3.0,0.5,0.0,,1.0,False,2025-04-07,1.0,
38,Aditya Malhotra,Man,No Cap FC,"Attacker, Midfielder",Midfielder,3,27,Medium,0.74,,APL 6.0,False,2,0.0,9.0,21.0,15,27,3.0,6.0,0.0,,1.0,False,2025-04-07,1.0,
39,Akhil Madhavan,Man,Billi FC,"Attacker, Midfielder",Midfielder,3,19,Medium,1.05,,APL 6.0,False,1,0.0,6.333333333333333,19.0,19,19,3.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
40,Amogh Agarwal,Man,Thaali Number 420,"Defender, Midfielder",Defender,3,10,Medium,2.0,,APL 6.0,False,2,0.0,3.333333333333333,11.0,10,12,3.5,-1.0,0.0,,1.0,False,2025-04-07,1.0,
41,Analie Dutta Choudhury,Non-Cis,HR26,Midfielder,Midfielder,3,6,Low,3.33,,APL 6.0,False,1,0.0,2.0,6.0,6,6,3.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
42,Ananya Samhita,Non-Cis,King's Private,"Attacker, Midfielder",Midfielder,3,2,Low,10.0,,APL 6.0,False,3,6.0,0.6666666666666666,2.7,0,6,3.3,-0.7000000000000002,0.0,,1.0,False,2025-04-07,1.0,
43,Anya Gosain,Non-Cis,Mango Bomb,"Attacker, Midfielder",Midfielder,3,6,Low,3.33,,APL 6.0,False,2,0.0,2.0,6.0,6,6,3.5,0.0,0.0,,1.0,False,2025-04-07,1.0,
44,Arjun Khanna,Man,Hasbulla FC,"Defender, Goalkeeper",Goalkeeper,3,20,Medium,1.0,,APL 6.0,False,1,0.0,6.666666666666667,20.0,20,20,3.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
45,Arnav Sahni,Man,Hasbulla FC,"Defender, Goalkeeper",Goalkeeper,3,13,Medium,1.54,,APL 6.0,False,2,0.0,4.333333333333333,9.5,6,13,3.5,3.5,0.0,,1.0,False,2025-04-07,1.0,
46,Aryamaan Girish,Man,Club Penguin,"Attacker, Defender",Defender,3,29,Medium,0.69,,APL 6.0,False,3,15.0,9.666666666666666,14.7,0,29,2.7,14.3,0.0,,1.0,False,2025-04-07,1.0,
47,Avi Narula,Man,A-Z,"Defender, Goalkeeper",Goalkeeper,3,12,Medium,1.67,,APL 6.0,False,1,0.0,4.0,12.0,12,12,3.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
48,Avyay Irde,Man,No Cap FC,"Attacker, Midfielder",Midfielder,3,12,Medium,1.67,,APL 6.0,False,1,0.0,4.0,12.0,12,12,3.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
49,Ayushman Roy,Man,No Cap FC,"Attacker, Goalkeeper",Goalkeeper,3,19,Medium,1.05,,APL 6.0,False,2,0.0,6.333333333333333,17.0,15,19,3.0,2.0,0.0,,1.0,False,2025-04-07,1.0,
50,Bhavya Gupta,Man,ELEPHANT.,"Attacker, Midfielder",Midfielder,3,18,Medium,1.11,,APL 6.0,False,1,0.0,6.0,18.0,18,18,3.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
51,Chaitanyaa Nair,Non-Cis,Dholakpur FC,"Defender, Goalkeeper",Goalkeeper,3,6,Low,3.33,,APL 6.0,False,1,0.0,2.0,6.0,6,6,3.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
52,Dhritvan Alva,Man,F.C. Pineapple,"Defender, Goalkeeper",Goalkeeper,3,16,Medium,1.25,,APL 6.0,False,1,0.0,5.333333333333333,16.0,16,16,3.0,0.0,0.0,,1.0,False,2025-04-07,1.0,
